ano,regiao,sigla_uf,unidade_geografica,localizacao,dependencia,CO_ENTIDADE,IN_ENERGIA_REDE_PUBLICA,IN_AGUA_POTAVEL,IN_COMPUTADOR
2024,Norte,RO,Rondônia,Urbana,Estadual,11032189,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11031964,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11032359,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11005475,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11024097,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11017384,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11020326,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11020504,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11008105,1,1,1
2024,Norte,RO,Rondônia,Urbana,Estadual,11021403,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12018422,1,0,1
2024,Norte,AC,Acre,Urbana,Estadual,12021768,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12128236,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12015946,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12028223,1,1,0
2024,Norte,AC,Acre,Rural,Estadual,12034649,1,1,0
2024,Norte,AC,Acre,Urbana,Estadual,12016284,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12026948,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12034568,1,1,0
2024,Norte,AC,Acre,Rural,Estadual,12009350,1,0,0
2024,Norte,AC,Acre,Urbana,Estadual,12009369,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12009377,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12009482,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12009490,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12009555,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12009679,1,0,1
2024,Norte,AC,Acre,Rural,Estadual,12009687,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12020680,1,0,0
2024,Norte,AC,Acre,Rural,Estadual,12026115,1,0,1
2024,Norte,AC,Acre,Rural,Estadual,12101222,1,0,0
2024,Norte,AC,Acre,Rural,Estadual,12103225,1,0,0
2024,Norte,AC,Acre,Rural,Estadual,12104221,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12009725,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12023396,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12030899,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12000256,0,0,0
2024,Norte,AC,Acre,Rural,Estadual,12000280,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12000418,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12000450,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12000663,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12000701,1,1,1
2024,Norte,AC,Acre,Rural,Estadual,12000779,0,1,0
2024,Norte,AC,Acre,Rural,Estadual,12000906,1,1,1
2024,Norte,AC,Acre,Urbana,Estadual,12000914,1,1,1
